U:0,U:1,U:2,WallDistance,nut,U
1.000000,0.000000,0.000000,0.000000,0.006213,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.000000,0.000000,0.000000,0.003107,0.500000
0.000000,0.000000,0.000000,0.000000,0.000002,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.085038,0.074755,0.000085,0.562895,0.000692,0.113224
0.090495,0.082857,0.000194,0.562888,0.000692,0.122698
0.094369,0.074064,0.000357,0.549393,0.000728,0.119963
0.097171,0.079901,0.000383,0.549351,0.000745,0.125803
0.098301,0.083454,0.000334,0.549304,0.000773,0.128949
0.101229,0.075731,0.000565,0.493372,0.000803,0.126423
0.100749,0.078191,0.000475,0.493333,0.000833,0.127532
0.100524,0.071406,0.000598,0.493409,0.000777,0.123306
0.103395,0.070696,0.000782,0.442532,0.000862,0.125256
0.101779,0.072567,0.000676,0.442498,0.000889,0.125002
0.104303,0.067358,0.000850,0.442565,0.000833,0.124165
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001310,0.057382,0.000092,0.009770,0.000039,0.057397
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001915,0.065438,0.000135,0.009496,0.000040,0.065466
0.003570,0.078045,-0.000876,0.021490,0.000122,0.078132
0.003957,0.085101,-0.001132,0.021024,0.000126,0.085200
0.007737,0.094531,-0.002302,0.035218,0.000226,0.094875
0.007013,0.088496,-0.001734,0.035508,0.000218,0.088790
0.013040,0.101007,-0.003165,0.054795,0.000330,0.101894
0.011923,0.095471,-0.002478,0.054984,0.000319,0.096244
0.020379,0.105588,-0.003806,0.081190,0.000438,0.107604
0.018857,0.100275,-0.003060,0.081321,0.000426,0.102079
0.030196,0.108252,-0.004057,0.116542,0.000550,0.112458
0.028028,0.103025,-0.003359,0.116639,0.000538,0.106822
0.042451,0.108789,-0.003870,0.163776,0.000661,0.116842
0.039588,0.103568,-0.003303,0.163854,0.000650,0.110925
0.056591,0.107159,-0.003409,0.226821,0.000759,0.121232
